KO_fag	KO_NoFag	KO_fag	KO_NoFag	KO_fag	KO_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag	WT_fag	WT_NoFag
ENSMUSG00000041779	3.57260336185954	3.54015545974604	4.40687014696235	2.83639564986387	4.01235317969794	3.95163524696257	4.29229846892884	2.83410052735113	4.04063945162419	3.77960229802619	3.56989823638384	3.79177401701619
ENSMUSG00000025933	3.1801073253543	3.94220667678177	3.34898980656702	3.26846429824577	3.33046767443915	3.31326965051081	4.28948904492847	3.84503969072652	3.85890351816494	3.38322705910237	3.85782960760715	3.41057969240308
ENSMUSG00000025934	2.12476872948968	2.63957036155653	1.66399337808834	2.1978328426471	1.64547124596047	1.62827322203213	2.12769143457612	1.512468865065	1.47796627263611	1.69823063062369	1.65032637267713	1.7255832639244
ENSMUSG00000041670	0.646781916423276	0.887133547965668	1.27045093743834	2.37831905389061	0.797142265508118	0.779944241579784	0.562325047173907	1.31171428179549	1.32557810923391	1.35808887461641	1.70726977606898	0.877254283472052
ENSMUSG00000026158	4.67089146341865	5.13763390006948	4.52899851168896	5.12288865770777	4.40716257223735	4.87233387189545	3.13083998045492	4.16828938129498	2.99419356058051	4.38014356220054	4.09542576116953	4.79919418323479
ENSMUSG00000026156	0.981168875108231	2.12562833978913	1.6048378961233	2.44395442699965	2.79110497340407	1.11433120026474	1.61374941280873	1.64610124048045	2.12744632750805	1.69247583330137	1.65889115736108	1.21164124215701
ENSMUSG00000026155	3.67768234659361	3.68487457427898	2.39986077914194	3.23897731001829	2.44442966648907	3.19046148305199	2.88557347770104	3.93078862953679	3.2749722234929	3.80043872737892	2.45391404037972	2.83407416416888
ENSMUSG00000026154	6.08056829037505	4.95288927986029	4.77736107849214	5.7664292469377	5.1576247713049	4.90765560873625	5.80087915492422	4.4733621805516	4.9547072675792	5.4386449953055	6.38708640421931	6.07381777508861
ENSMUSG00000026153	2.05707222805311	2.74967572999014	2.6701604583389	2.8093528813282	0.806023832863577	2.32835985451158	1.28824402147924	2.61136779302431	2.15444394914477	2.49630529825716	3.34716550205702	3.38361570182358
ENSMUSG00000026141	0.830259322988177	1.07061095453057	1.45392834400324	0.918616295879644	0.980619672073018	0.963421648144685	1.46283986068868	0.847617291177546	1.50905551579881	1.03337905673624	1.50798160524102	1.06073169003695
ENSMUSG00000100131	3.80513222507881	4.56723157650628	4.77406348839156	4.50785417085029	4.47337013344101	5.47782859581165	5.55870414061449	4.91541767625976	5.82350680916116	5.18890010146183	5.16783273234028	4.86301463112082
ENSMUSG00000067736	6.00990477245768	6.14234629127109	6.34917820315637	6.0829688856151	6.04848484820582	5.51340926500013	5.29579007059425	6.49053239102457	6.05904313265426	6.76401481622664	5.53546241564512	6.43812934588563
ENSMUSG00000101939	5.77912456562851	5.91156608444192	6.39678143322593	5.23782370590592	6.49866168913997	5.28262905817096	7.34680245265482	5.81439909838667	5.82826292582509	5.35258646676252	5.8271890152673	6.72986694334971
ENSMUSG00000101111	5.03358503089619	4.20740241893134	5.44762237597922	4.66977273316042	5.56493154703082	5.63974715812179	5.72062270292463	5.41715254978882	5.98542537147129	6.15415233512323	4.64477306964179	5.02493319343095
ENSMUSG00000100862	6.07626841001038	5.62119767147919	5.65534941013391	5.30701680258238	6.84878025693036	5.84747419227649	6.98524151022999	5.89971742202894	6.39631091881419	7.25248396687803	6.49722026992104	7.08815562045428
ENSMUSG00000102070	6.06989888513466	4.40875992821031	6.18290527122808	5.89994543413526	6.607607025439	5.26763409022477	6.54511873565266	6.12411260591349	5.95025229462169	5.79862347679403	5.78084828838978	4.39888066371669
ENSMUSG00000101249	6.31041477055991	6.08382462927629	6.11797636793102	6.36894191680809	6.79601194688716	6.887351195725	7.17363377237153	7.12263102019325	6.8589378766113	6.97082802695362	5.69789263898646	6.60057643913302
ENSMUSG00000073725	5.41032074980095	5.51669448295057	5.69915038695319	5.16241961282044	5.47971286954999	5.2365919215241	3.96904833159984	5.62063726872618	4.38612544472629	5.62366271686594	5.29405824097965	5.56118771997103
ENSMUSG00000033569	0.466622171680264	-0.359560440284582	1.08139958744704	0.102809873944498	-0.449551722742132	-0.466749746670466	-0.684368941076343	0.065020293545242	-0.617056696066488	0.111394886366167	0.07781021042587	0.980488138508285
ENSMUSG00000103209	2.48890533046848	2.6213468492819	2.4829165188695	1.9476044707459	2.00960784693928	2.55483689861124	1.77479062860506	2.52417986322665	1.84210287361492	2.0623672316025	2.01446297365593	2.08971986490321
ENSMUSG00000103563	2.78909050446826	2.3997843033966	2.32831515306693	2.24778964474568	2.30979302093905	2.85502207261102	2.07497580260484	2.17679064004358	2.83822886466485	2.36255240560228	2.31464814765571	3.21731507789621
ENSMUSG00000102747	1.88730378298541	2.1276554145278	2.05618626419813	2.59002572875688	2.03766413207025	2.58289318374222	1.80284691373604	2.55223614835762	2.56609997579604	2.59861074117855	2.56502606523825	2.11777615003418
ENSMUSG00000073722	2.57030600016472	2.26587110808495	1.6726542378702	1.59212872954895	1.65413210574232	1.63693408181399	2.61315347623164	1.52112972484685	1.48662713241797	1.70689149040555	1.65898723245898	1.73424412370626
ENSMUSG00000118548	3.25236664059875	3.49271827214114	3.42124912181146	3.95508858637022	3.92060454896095	3.38552896575526	4.36174836017291	3.26972460878812	3.93116283340938	3.45548637434681	3.40758211640025	3.48283900764752
ENSMUSG00000048874	2.21429046549951	3.30772992699731	2.58571597032346	3.03971284364077	1.94593948327849	3.10711808055884	2.59779600441842	2.86904171860107	2.34538477993985	3.02228011519545	3.28814708947747	2.86499486761245
ENSMUSG00000103783	2.71572166805322	3.23052330012007	2.25494631665188	2.78878578121064	2.75430174380136	3.18528962899602	2.0016069661898	2.75099620081138	2.06891921119965	2.7973707936323	2.76378611769201	2.31653620248794
ENSMUSG00000104315	3.07897272704418	3.92112129968904	3.25975318374842	2.71516042930842	3.0609641702636	3.1116642770938	2.64501902123745	2.67737084890916	3.15871593593676	2.72374544173008	3.07292634318265	3.5928386938722
ENSMUSG00000117310	2.62929714180411	2.32486224972434	2.18643191931194	2.26548484406835	2.23100080665908	3.23545926902972	1.47830602904751	2.22769526366909	1.54561827405736	1.76588263204494	1.71797837409838	1.79323526534565
ENSMUSG00000026064	2.54539737725077	3.40221017412788	2.62456022156666	2.87552577044373	2.19251431970304	2.55825835790151	3.13643797272122	3.09969294222197	1.82278482578703	2.77420381310251	2.50668914023786	3.10716029276867
