KO_fag	KO_NoFag	WT_fag	WT_NoFag
ENSMUSG00000103630	3.07381654394943	2.93163501584471	2.82674190525035	2.69916741176175
ENSMUSG00000041439	1.3396710624431	1.11609183879527	1.02974610141845	0.968353127894215
ENSMUSG00000026102	3.06570809756671	2.36052303432384	2.94470245023577	2.11045833431492
ENSMUSG00000041426	3.45202906270733	3.65208939561263	2.58014058197704	3.54037024471273
ENSMUSG00000043629	1.99632204888067	1.87730600330612	1.51404271238917	2.17635071660566
ENSMUSG00000026098	2.94583851632111	3.21132912718639	2.6848833845366	3.29502209595347
ENSMUSG00000026097	4.66754925615642	4.75272411759336	4.70363301529159	4.64458774902774
ENSMUSG00000026096	2.70312700586793	3.30686857809547	2.08408681563392	3.38354027868163
ENSMUSG00000101838	3.69677350269486	3.58064623848129	3.22896517275171	3.35977023084223
ENSMUSG00000026095	3.17646915240564	3.63986371460661	3.95235747936269	3.59868766584641
ENSMUSG00000096141	0.264744030724284	0.49153103072921	0.625408256400906	0.518046767811871
ENSMUSG00000026094	5.55309638504201	5.89864756876977	5.13276986409262	5.35073151240685
ENSMUSG00000042807	0.393030122742843	0.285551323799954	0.537523843548424	0.594605350091214
ENSMUSG00000041303	4.42347621518719	4.55831388658425	4.36567096766411	4.36107116045409
ENSMUSG00000073678	1.96847197995529	1.3254258810698	0.939663478283276	1.4746252768387
ENSMUSG00000104136	3.20753418896972	3.03470772637574	3.34260119767405	3.0271627221314
ENSMUSG00000052331	4.67982137169903	4.92105353795577	3.8157817419949	4.8792375168172
ENSMUSG00000101674	3.29799638630336	3.4186041714905	2.66106550197581	3.17829615308153
ENSMUSG00000102503	3.22279689596006	3.81078722968002	3.1327145747171	4.42566087415948
ENSMUSG00000102642	2.77832100094827	3.28933857791638	3.13370371581099	3.3774571479327
ENSMUSG00000025982	6.69596046989979	6.79862823962855	6.10082217105973	6.42587467450748
ENSMUSG00000103030	3.43643695654534	3.47279467446005	2.785229847084	4.17283148254876
ENSMUSG00000025981	4.1424122313457	3.67678128075649	4.08536851163545	4.1266257036478
ENSMUSG00000101122	4.22606506394084	4.64331332600094	4.34575265618171	4.78184936759669
ENSMUSG00000025980	7.47182524930278	6.61752650005449	7.35899718918558	7.16621856284376
ENSMUSG00000073676	6.83753908052207	6.53606130330598	7.14379904567821	7.37705424968614
ENSMUSG00000025979	5.29758540111557	5.41733639713089	4.958422722692	5.24039638833176
ENSMUSG00000025978	1.71737011840001	1.43773793643178	1.74587112672496	1.63897540103954
ENSMUSG00000046994	2.64626551857565	2.08523984508057	2.08278678687871	2.8706357631828
ENSMUSG00000025977	2.43676508528754	1.95364560832974	1.81529554599488	2.19639070410628
ENSMUSG00000038349	2.7692504625888	2.63759321960166	2.78585741285369	2.88308200329186
ENSMUSG00000102145	3.31341000798911	4.45894766060851	3.50837704612808	4.27735094223929
ENSMUSG00000102831	3.80419335029671	4.56844978729648	3.54894534894984	4.67216540017378
ENSMUSG00000038331	0.955505493703555	1.2074693665653	1.30760249028272	0.996228230551111
ENSMUSG00000038323	3.65686342405304	3.96410302869143	3.45115442611079	3.82554394178537
ENSMUSG00000048495	4.22571880601787	3.97256453138507	3.52654623856444	3.3226400490489
ENSMUSG00000025971	3.43746124617319	3.38808103502719	3.63112008252554	2.46705623142399
ENSMUSG00000038305	0.711117128656486	0.972716018174051	0.83918982215971	1.37307837220511
ENSMUSG00000054770	2.65006703543704	2.55547115676742	2.42711036544322	2.25666509968935
ENSMUSG00000026039	1.43332279247995	1.53209064436646	1.95456699863532	1.17063415319714
ENSMUSG00000063558	1.09637831976802	0.860751149862146	1.32948421851806	1.07377276528996
ENSMUSG00000064294	1.10072855286909	0.952619582370211	1.26051497371529	1.4116924818024
ENSMUSG00000038242	0.826537830511665	1.24914936701679	1.40745958521547	0.971109918162931
